comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
,50,,Rock outcrop,Miscellaneous area,Yes,,,,,,,,,,,,,,,Rock,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,1650663,13638025
,40,,Torriorthents,Taxon above family,Yes,MAP10-14,,5.0,33.0,60.0,10,15,20,Very high,3,,,,Shrub cover,Native shrubs,Neither wooded nor farmable under natural conditions,No,Well drained,1767.9000244140625,1920.300048828125,2072.699951171875,360,0,0,escarpments,,0.30000001192092896,,10.600000381469727,11.699999809265137,12.199999809265137,254,305,356,,,,130,145,160,8,e,,,,,,,,550,750,1100,,,,,,,,,,,,,,,None,0,0,0,,,,A,,,Torriorthents,Entisols,Orthents,Torriorthents,,,,,,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650663,13638026
,100,,Querencia,Series,Yes,MAP10-14,,0.0,2.0,3.0,30,152,305,Medium,5,48,6,,Grass/herbaceous cover,Grassland rangeland,,No,Well drained,1889.800048828125,2048.300048828125,2248.300048828125,360,220,0,"plateaus, stream terraces",,0.30000001192092896,,10.600000381469727,11.100000381469727,11.699999809265137,254,305,356,,,,120,135,150,6,s,,2,s,,,,,600,850,1200,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,Moderate,"Fine-loamy, mixed, superactive, mesic Ustic Haplocambids",Aridisols,Cambids,Haplocambids,Ustic Haplocambids,fine-loamy,not used,superactive,not used,mesic,Ustic,mesic,eleventh edition,,,,,,,N/A,N/A,,,,,1650662,13638033
,45,,Penistaja family,Family,Yes,"MAP10-14, NIRR",,1.0,5.0,8.0,10,55,100,Medium,4,86,3,,Grass/herbaceous cover,Shrubby rangeland,Neither wooded nor farmable under natural conditions,No,Well drained,1798.300048828125,1935.5,2072.699951171875,360,0,0,fan terraces on plateaus,,0.23000000417232513,,10.0,10.600000381469727,11.100000381469727,254,305,356,,,,120,135,150,6,e,,,,,,,,400,700,1000,,,,,,,,,,,,,,,None,0,0,0,,,,B,Low,Moderate,"Fine-loamy, mixed, superactive, mesic Ustic Haplargids",Aridisols,Argids,Haplargids,Ustic Haplargids,fine-loamy,,superactive,,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650661,13638023
,40,,Begay,Series,Yes,MAP10-14,,1.0,5.0,8.0,10,55,100,Medium,4,86,3,,Grass/herbaceous cover,Shrubby rangeland,Neither wooded nor farmable under natural conditions,No,Well drained,1798.300048828125,1935.5,2072.699951171875,360,0,0,fan terraces on plateaus,,0.30000001192092896,,10.0,10.600000381469727,11.100000381469727,254,305,356,,,,120,135,150,6,e,,3,e,,,,,400,700,1000,,,,,,,,,,,,,,,Low,0,0,0,,,,B,Low,Moderate,"Coarse-loamy, mixed, superactive, mesic Ustic Haplocambids",Aridisols,Cambids,Haplocambids,Ustic Haplocambids,coarse-loamy,,superactive,,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650661,13638024
,100,,Monue,Series,Yes,MAP6-10,,1.0,3.0,5.0,100,550,1000,Low,4,86,3,None - deposition,Grass/herbaceous cover,Grassland rangeland,,No,Well drained,1706.9000244140625,1712.0,1859.300048828125,360,0,0,"fan terraces, plateaus",,0.1599999964237213,,11.100000381469727,11.699999809265137,12.199999809265137,152,203,254,,,,130,145,160,7,e,,3,e,,,,,450,600,800,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,A,Moderate,Moderate,"Coarse-loamy, mixed, superactive, mesic Typic Haplocambids",Aridisols,Cambids,Haplocambids,Typic Haplocambids,coarse-loamy,,superactive,not used,mesic,Typic,mesic,eleventh edition,,,,,,,N/A,N/A,,,,,1650660,13638036
,50,,Pinavettes family,Family,Yes,MAP10-14,,1.0,5.0,8.0,10,55,100,Very low,5,134,2,,Grass/herbaceous cover,Shrubby rangeland,Neither wooded nor farmable under natural conditions,No,Excessively drained,1767.9000244140625,1889.800048828125,2011.699951171875,360,0,0,dunes on fan terraces,,0.30000001192092896,,10.600000381469727,11.100000381469727,11.699999809265137,254,305,356,,,,130,140,150,7,e,,2,e,,,,,400,650,1000,,,,,,,,,,,,,,,Low,0,0,0,,,,A,Low,Moderate,"Mixed, mesic Ustic Torripsamments",Entisols,Psamments,Torripsamments,Ustic Torripsamments,not used,,,,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650659,13638021
,35,,Begay,Series,Yes,MAP10-14,,1.0,5.0,8.0,10,55,100,Low,5,134,2,,Grass/herbaceous cover,Shrubby rangeland,Neither wooded nor farmable under natural conditions,No,Well drained,1767.9000244140625,1889.800048828125,2011.699951171875,360,0,0,fan terraces,,0.30000001192092896,,10.600000381469727,11.100000381469727,11.699999809265137,254,305,356,,,,130,140,150,6,e,,3,e,,,,,400,700,1000,,,,,,,,,,,,,,,Low,0,0,0,,,,A,Low,Moderate,"Coarse-loamy, mixed, superactive, mesic Ustic Haplocambids",Aridisols,Cambids,Haplocambids,Ustic Haplocambids,coarse-loamy,,superactive,,mesic,Ustic,mesic,,,,,,,,N/A,N/A,,,,,1650659,13638022
,100,,Bighams,Series,Yes,MAP10-14,,1.0,5.0,8.0,30,152,305,Medium,3,86,3,None - deposition,Shrub cover,Shrubby rangeland,,No,Well drained,1920.300048828125,1981.199951171875,2042.199951171875,360,0,0,"hills, plateaus",,0.23000000417232513,,10.0,10.600000381469727,11.100000381469727,254,305,356,,,,120,135,150,6,e,,,,,,,,400,700,1000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,Moderate,"Fine-loamy, mixed, superactive, mesic Ustic Haplocalcids",Aridisols,Calcids,Haplocalcids,Ustic Haplocalcids,fine-loamy,,superactive,not used,mesic,Ustic,mesic,eleventh edition,,,,,,,N/A,N/A,,,,,1650657,13638037
,40,,Torriorthents,Taxon above family,Yes,MAP8-10,,20.0,40.0,60.0,,,,Medium,5,,,,,,,No,Well drained,1463.0999755859375,1569.699951171875,1676.4000244140625,360,0,0,hills,,,,11.699999809265137,12.5,13.300000190734863,152,203,254,,,,150,165,180,7,e,,,,,,,,100,300,500,,,,,,,,,,,,,,,None,0,0,0,,,,A,,,Torriorthents,Entisols,Orthents,Torriorthents,,,,,,,Typic,mesic,,,,,,,,N/A,N/A,,,,,1650655,13638019
,35,,Typic Haplocalcids,Taxon above family,Yes,MAP8-10,,20.0,40.0,60.0,,,,Medium,5,,,,,,,No,Well drained,1463.0999755859375,1569.699951171875,1676.4000244140625,360,0,0,"escarpments, hills",,,,11.699999809265137,12.5,13.300000190734863,152,203,254,,,,150,165,180,7,e,,,,,,,,150,350,500,,,,,,,,,,,,,,,None,0,0,0,,,,A,,,Typic Haplocalcids,Aridisols,Calcids,Haplocalcids,Typic Haplocalcids,not used,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,1650655,13638020
,45,,Sheppard,Series,Yes,MAP8-10,,1.0,7.0,12.0,,,,Low,5,134,2,,,,,No,Excessively drained,1463.0999755859375,1569.699951171875,1676.4000244140625,360,0,0,dunes,,0.3700000047683716,,11.699999809265137,12.5,13.300000190734863,152,203,254,,,,150,165,180,7,e,,,,,,,,300,500,700,,,,,,,,,,,,,,,Low,0,0,0,,,,A,Low,Low,"Mixed, mesic Typic Torripsamments",Entisols,Psamments,Torripsamments,Typic Torripsamments,not used,,,not used,mesic,Typic,mesic,,,,,,,,N/A,N/A,,,,,1650654,13638017
