comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
0,4,10,Falfurrias,Series,No,,,0.0,2.0,5.0,30,60,91,,,,,,,,,No,Well drained,9.100000381469727,91.5,144.8000030517578,0,135,360,dunes on sand sheets on coastal plains,,,,21.100000381469727,22.200000762939453,23.299999237060547,559,635,737,,,,270,285,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mixed, hyperthermic Typic Ustipsamments",Entisols,Psamments,Ustipsamments,Typic Ustipsamments,not used,not used,not used,not used,hyperthermic,Typic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403294,13765615
0,4,10,Comitas,Series,No,,,0.0,2.0,5.0,30,60,91,,,,,,,,,No,Well drained,9.100000381469727,91.5,144.8000030517578,0,135,360,sand sheets on coastal plains,,,,21.100000381469727,22.200000762939453,23.299999237060547,559,635,737,,,,270,285,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loamy, mixed, active, hyperthermic Arenic Aridic Paleustalfs",Alfisols,Ustalfs,Paleustalfs,Arenic Aridic Paleustalfs,loamy,not used,active,not used,hyperthermic,Aridic (torric),hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403294,13765616
0,1,5,Turcotte,Series,No,,,0.0,2.0,5.0,30,60,91,,,,,,,,,No,Well drained,9.100000381469727,91.5,144.8000030517578,0,135,360,dunes on coastal plains,,,,21.100000381469727,22.200000762939453,23.299999237060547,559,635,737,,,,270,285,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine-loamy, mixed, active, hyperthermic Typic Haplustolls",Mollisols,Ustolls,Haplustolls,Typic Haplustolls,fine-loamy,not used,active,not used,hyperthermic,Typic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403294,13765617
0,1,5,Unnamed,,No,,hydric,0.0,1.0,3.0,30,60,91,Negligible,,,,None - deposition,Grass/herbaceous cover,Shrubby rangeland,Wooded under natural conditions,Yes,Somewhat poorly drained,9.100000381469727,91.5,144.8000030517578,0,135,360,depressions on sand sheets on coastal plains,,,,21.100000381469727,22.200000762939453,23.299999237060547,559,635,737,,,,270,285,350,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,,,,,,,,,,,,,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,2403294,13765618
20,35,45,Clareville,Series,Yes,,,0.0,1.0,1.0,,61,,Negligible,5,48,6,None - deposition,Shrub cover,Shrubby rangeland,,No,Well drained,90.0,120.0,213.0,85,135,190,drainageways on coastal plains,,0.09000000357627869,,21.0,22.0,23.0,560,611,734,,,,250,270,300,2,c,,,,,,,,3000,5000,5800,,,,,,,,,,,,,,,None,0,0,0,,,,B,Moderate,Moderate,"Fine, smectitic, hyperthermic Pachic Argiustolls",Mollisols,Ustolls,Argiustolls,Pachic Argiustolls,fine,not used,not used,not used,hyperthermic,Ustic,hyperthermic,tenth edition,,,,,,,N/A,N/A,,,,,2403295,13765538
0,5,15,Unnamed,,No,,hydric,0.0,0.0,1.0,,,,,,,,,,,Neither wooded nor farmable under natural conditions,Yes,Somewhat poorly drained,,,,,,,depressions on meander belts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tenth edition,,,,,,,N/A,N/A,,,,,2403295,13765539
55,60,80,Czar,Series,Yes,,,0.0,0.5,1.0,,30,,Negligible,5,56,5,None - deposition,Shrub cover,Shrubby rangeland,,No,Well drained,90.0,120.0,213.0,85,135,190,drainageways on coastal plains,,,,21.0,22.0,23.0,560,611,734,,,,250,270,300,2,c,,,,,,,,3000,5000,5800,,,,,,,,,,,,,,,None,0,0,0,,,,B,Low,Moderate,"Fine-loamy, mixed, superactive, hyperthermic Pachic Argiustolls",Mollisols,Ustolls,Argiustolls,Pachic Argiustolls,fine-loamy,not used,superactive,not used,hyperthermic,Ustic,hyperthermic,tenth edition,,,,,,,N/A,N/A,,,,,2403295,13765540
80,90,95,Benavides,Series,Yes,,,2.0,3.0,5.0,,55,,Low,5,86,3,Class 1,Shrub cover,Shrubby rangeland,,No,Well drained,36.0,51.0,244.0,0,135,360,interfluves on coastal plains,,0.1599999964237213,,21.0,22.0,23.0,559,610,660,,,,270,300,360,3,e,,,,,,,,2000,3000,4000,,,,,,,,,,,,,,Low,None,0,0,0,0,0,0,B,Low,Moderate,"Fine-loamy, mixed, superactive, hyperthermic Aridic Calciustolls",Mollisols,Ustolls,Calciustolls,Aridic Calciustolls,fine-loamy,not used,superactive,not used,hyperthermic,Aridic (torric),hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403296,13765559
2,4,7,Pernitas,Series,No,,,2.0,3.0,5.0,48,91,91,Low,5,86,3,Class 1,Shrub cover,Shrubby rangeland,,No,Well drained,36.0,51.0,244.0,0,135,360,ridges on coastal plains,,0.1599999964237213,,21.0,23.0,23.0,559,610,660,,,,270,300,360,3,c,,,,,,,,2000,3000,4000,,,,,,,,,,,,,,Low,None,0,0,0,0,0,0,B,Low,Moderate,"Fine-loamy, mixed, superactive, hyperthermic Typic Argiustolls",Mollisols,Ustolls,Argiustolls,Typic Argiustolls,fine-loamy,not used,superactive,not used,hyperthermic,Typic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403296,13765560
3,3,9,Delmita,Series,No,,,2.0,3.0,5.0,48,91,91,Medium,3,86,3,Class 1,Shrub cover,Shrubby rangeland,,No,Well drained,36.0,51.0,244.0,0,135,360,ridges on interfluves on coastal plains,,0.23000000417232513,,21.0,22.0,23.0,559,610,660,,,,270,300,360,3,e,,,,,,,,1500,3000,4000,,,,,,,,,,,,,,Low,None,0,0,0,0,0,0,C,Low,Low,"Fine-loamy, mixed, active, hyperthermic Petrocalcic Paleustalfs",Alfisols,Ustalfs,Paleustalfs,Petrocalcic Paleustalfs,fine-loamy,not used,active,not used,hyperthermic,Ustic,hyperthermic,eleventh edition,,,,,,,N/A,N/A,,,,,2403296,13765561
