comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
,35,,Antho,Series,Yes,"NIRR, MAP7-10,CALC SURF",,0.0,2.0,3.0,30,152,305,,5,86,3,,,,,No,Somewhat excessively drained,259.0,343.0,427.0,360,0,0,alluvial fans,,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,e,,2,e,,,,,200,350,700,,,,,,,,,,,,,,,None,0,0,0,,,,A,Low,Moderate,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,coarse-loamy,,not used,calcareous,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53292,13639501
,30,,Carrizo,Series,Yes,MAP7-10,,0.0,2.0,3.0,30,152,305,,5,56,5,,,,,No,Excessively drained,229.0,328.0,427.0,360,0,0,alluvial fans,,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,s,,4,s,,,,,700,1500,2200,,,,,,,,,,,,,,,None,0,0,0,,,,A,Low,Moderate,"Sandy-skeletal, mixed, hyperthermic Typic Torriorthents",Entisols,Orthents,Torriorthents,Typic Torriorthents,sandy-skeletal,,not used,not used,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53292,13639502
,40,,Antho,Series,Yes,"NIRR, MAP7-10, CALC SURF",,1.0,2.0,3.0,30,152,305,,5,56,5,,,,,No,Well drained,259.0,343.0,427.0,360,0,0,alluvial fans,,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,e,,2,e,,,,,200,350,700,,,,,,,,,,,,,,,None,0,0,0,,,,A,Low,Moderate,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,coarse-loamy,,not used,calcareous,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53293,13639503
,30,,Tremant,Series,Yes,"NIRR,MAP7-10, CALC SURF",,1.0,3.0,5.0,30,152,305,,5,38,7,,,,,No,Well drained,244.0,396.0,549.0,360,0,0,alluvial fans,,0.30000001192092896,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,270,295,320,7,e,,2,e,,,,,250,400,650,,,,,,,,,,,,,,,None,0,0,0,,,,C,Moderate,Moderate,"Fine-loamy, mixed, hyperthermic Typic Haplargids",Aridisols,Argids,Haplargids,Typic Haplargids,fine-loamy,,not used,not used,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53293,13639504
,55,,Antho,Series,Yes,"NIRR, MAP7-10, CALC SURF",,0.0,2.0,3.0,30,152,305,,5,86,3,,,,,No,Somewhat excessively drained,259.0,343.0,427.0,360,0,0,alluvial fans,,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,s,,2,s,,,,,200,350,700,,,,,,,,,,,,,,,None,0,0,0,,,,A,Low,Moderate,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,coarse-loamy,,not used,calcareous,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53294,13639505
,30,,Antho,Series,Yes,"NIRR, MAP7-10, CALC SURF",,0.0,2.0,3.0,30,152,305,,5,56,5,,,,,No,Well drained,259.0,343.0,427.0,360,0,0,alluvial fans,,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,e,,2,e,,,,,200,350,700,,,,,,,,,,,,,,,None,0,0,0,,,,A,Low,Moderate,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,coarse-loamy,,not used,calcareous,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53294,13639506
,40,,Antho,Series,Yes,"NIRR, MAP7-10, CALC SURF",,0.0,1.0,1.0,30,152,305,,5,86,3,,,,,No,Somewhat excessively drained,259.0,343.0,427.0,360,0,0,plains,,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,s,,2,s,,,,,200,350,700,,,,,,,,,,,,,,,None,0,0,0,,,,A,Low,Moderate,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,coarse-loamy,,not used,calcareous,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53295,13639507
,40,,Valencia,Series,Yes,"NIRR, MAP7-10, CALC SURF",,0.0,1.0,1.0,30,152,305,,5,86,3,,,,,No,Well drained,244.0,335.0,427.0,360,0,0,plains,,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,c,,1,,,,,,200,350,700,,,,,,,,,,,,,,,None,0,0,0,,,,C,Moderate,Moderate,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,coarse-loamy,,not used,calcareous,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53295,13639508
,100,,Agualt,Series,Yes,IRR,,0.0,2.0,3.0,201,235,268,,5,86,4L,,,,,No,Well drained,244.0,351.0,457.0,360,0,0,"alluvial fans, flood plains, terraces",,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,s,,2,s,,,,,200,350,700,,,,,,,,,,,,,,,None,0,0,0,,,,B,Low,High,"Coarse-loamy over sandy or sandy-skeletal, mixed, calcareous, hyperthermic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,coarse-loamy over sandy or sandy-skeletal,,not used,calcareous,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53296,13639509
,100,,Antho,Series,Yes,"IRR, MAP7-10,CALC SURF",,1.0,2.0,3.0,30,152,305,,5,56,5,,,,,No,Well drained,259.0,343.0,427.0,360,0,0,alluvial fans,,0.23000000417232513,,20.5,21.899999618530273,23.299999237060547,152,178,203,,,,250,275,300,7,e,,2,e,,,,,200,350,700,,,,,,,,,,,,,,,None,0,0,0,,,,A,Low,Moderate,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents",Entisols,Fluvents,Torrifluvents,Typic Torrifluvents,coarse-loamy,,not used,calcareous,hyperthermic,,hyperthermic,,,,,,,,N/A,N/A,,,,,53297,13639510
