musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
130,"Urban land-Still complex, 0 to 2 percent slopes",Complex,,8164,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543353
120,"Aquic Xerorthents, bay mud subtratum, 0 to 2 percent slopes",Consociation,,582,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543354
115,"Pits, mine",Consociation,,1381,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543355
111,"Xerorthents, trash substratum, 9 to 15 percent slopes",Consociation,,116,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543356
110,"Xerorthents, trash substratum, 0 to 2 percent slopes",Consociation,,631,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543357
160,"Urbanland-Clear Lake complex, 0 to 2 percent slopes",Complex,,5172,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543359
155,"Novato clay, 0 to 1 percent slopes, tidally flooded",Consociation,,2140,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543360
150,"Urbanland-Embarcadero complex, 0 to 2 percent slopes, drained",Complex,,1017,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543361
145,"Urbanland-Hangerone complex, 0 to 2 percent slopes, drained",Complex,,15686,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543362
140,"Urban land-Flaskan complex, 0 to 2 percent slopes",Complex,,26420,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543363
135,"Urban land-Stevenscreek complex, 0 to 2 percent slopes",Complex,,8922,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543364
131,"Urban land-Elpaloalto complex, 0 to 2 percent slopes",Complex,,18878,,,,,,,Not prime farmland,,,,,,,,,,,14107,1543365
505,"Casrock sandy loam, conglomerate bedrock, 15 to 30 percent slopes",Consociation,,52,,,,,,,Not prime farmland,,,,,,,,,,,14107,1546224
516,"Ben Lomond gravelly sandy loam, 15 to 30 percent slopes",Complex,,2344,,,,,,,Not prime farmland,,,,,,,,,,,14107,1546230
112,"Xerorthents, trash substratum 15 to 30 percent slopes",Consociation,,320,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602803
113,"Xerorthents, trash substratum, 30 to 50 percent slopes",Consociation,,19,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602804
121,"Aquic Xerorthents, bay mud substratum, 2 to 5 percent slopes",Consociation,,339,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602806
122,"Xerorthents, anthropogenic fill, 0 to 2 percent slopes",Consociation,,57,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602807
141,"Urban land-Flaskan complex, 2 to 9 percent slopes",Complex,,4665,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602808
142,"Flaskan sandy loam, 15 to 30 percent slopes",Consociation,,71,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602809
151,"Embarcadero silty clay loam, drained, 0 to 2 percent slopes",Consociation,,842,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602810
165,"Urbanland-Campbell complex, 0 to 2 percent slopes, protected",Complex,,15894,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602811
171,"Elder fine sandy loam, 0 to 2 percent slopes, rarely flooded",Complex,,1121,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,1602813
170,"Urbanland-Landelspark complex, 0 to 2 percent slopes",Complex,,3474,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602814
W,Water,Consociation,,5333,,,,,,,Not prime farmland,,,,,,,,,,,14107,1602816
520,"Mouser-Maymen complex, 30 to 75 percent slopes",Complex,,5040,,,,,,,Not prime farmland,,,,,,,,,,,14107,1653013
300,"Urbanland-Montara complex, 15 to 30 percent slopes",Complex,,446,,,,,,,Not prime farmland,,,,,,,,,,,14107,1653015
175,"Urbanland-Botella complex, 0 to 2 percent slopes",Complex,,3660,,,,,,,Not prime farmland,,,,,,,,,,,14107,1653016
551,"Maymen-Katykat complex, 8 to 30 percent slopes",Complex,,3038,,,,,,,Not prime farmland,,,,,,,,,,,14107,1653019
301,"Montara sandy loam, 15 to 50 percent slopes",Consociation,,2495,,,,,,,Not prime farmland,,,,,,,,,,,14107,1674413
166,"Campbell silt loam, 0 to 2 percent slopes, protected",Consociation,,1473,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,1674416
530,"Aptos loam, 15 to 30 percent slopes",Consociation,,324,,,,,,,Not prime farmland,,,,,,,,,,,14107,1674420
525,"Felton fine sandy loam, 30 to 50 percent slopes",Consociation,,184,,,,,,,Not prime farmland,,,,,,,,,,,14107,1674421
564,"Santerhill-Xerolls-Mouser complex, 15 to 30 percent slopes, mined land",Complex,,331,,,,,,,Not prime farmland,,,,,,,,,,,14107,1864179
561,"Footpath-Mouser complex, 30 to 50 percent slopes",Complex,,6389,,,,,,,Not prime farmland,,,,,,,,,,,14107,1864181
560,"Katykat-Mouser-Sanikara complex, 30 to 50 percent slopes",Complex,,11533,,,,,,,Not prime farmland,,,,,,,,,,,14107,1864182
569,"Katykat-Sanikara complex, 8 to 30 percent slopes",Complex,,3632,,,,,,,Not prime farmland,,,,,,,,,,,14107,1864184
567,"Sanikara-Mouser-Rock outcrop complex, 50 to 75 percent slopes",Complex,,5958,,,,,,,Not prime farmland,,,,,,,,,,,14107,1864186
566,"Mouser-Katykat-Sanikara complex, 50 to 75 percent slopes",Complex,,10409,,,,,,,Not prime farmland,,,,,,,,,,,14107,1864187
552,"Elsman-Maymen-Sanikara, 30 to 50 percent slopes",Complex,,7969,,,,,,,Not prime farmland,,,,,,,,,,,14107,1882915
518,"Ben Lomond-Casrock complex, 50 to 75 percent slopes",Complex,,4537,,,,,,,Not prime farmland,,,,,,,,,,,14107,1882916
517,"Ben Lomond-Casrock complex, 30 to 50 percent slopes",Complex,,7401,,,,,,,Not prime farmland,,,,,,,,,,,14107,1882917
316,"Cropley clay, 2 to 9 percent slopes, MLRA 14",Consociation,,765,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,1882918
315,"Cropley clay, 0 to 2 percent slopes, MLRA 14",Consociation,,284,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,1882919
311,"Diablo clay, 30 to 50 percent slopes, MLRA 15",Consociation,,64,,,,,,,Not prime farmland,,,,,,,,,,,14107,1882920
310,"Diablo clay, 15 to 30 percent slopes, MLRA 15",Consociation,,1183,,,,,,,Not prime farmland,,,,,,,,,,,14107,1882921
306,"Alo-Altamont complex, 30 to 50 percent slopes",Consociation,,1931,,,,,,,Not prime farmland,,,,,,,,,,,14107,1882922
305,"Alo-Altamont complex, 15 to 30 percent slopes",Consociation,,8371,,,,,,,Not prime farmland,,,,,,,,,,,14107,1882923
173,"Caninecreek-Elder complex, 0 to 2 percent slopes, rarely flooded",Complex,,773,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,1882924
161,"Clear Lake silty clay, 0 to 2 percent slopes, drained",Consociation,,444,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,1882926
156,"Novato silty clay loam, excessive salinity, 0 to 1 percent slopes, protected",Consociation,,8087,,,,,,,Not prime farmland,,,,,,,,,,,14107,1882927
146,"Hangerone clay loam, drained, 0 to 2 percent slopes",Consociation,,384,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,1882928
570,"Footpath-Mouser complex, 50 to 75 percent slopes",Complex,,1100,,,,,,,Not prime farmland,,,,,,,,,,,14107,1906215
553,"Elsman-Maymen, 50 to 75 percent slopes",Complex,,8606,,,,,,,Not prime farmland,,,,,,,,,,,14107,1906340
571,"Sanikara-Rock Outcrop complex, 75 to 100 percent slopes",Complex,,2848,,,,,,,Not prime farmland,,,,,,,,,,,14107,1906341
157,"Novato clay, 0 to 1 percent slopes, protected",Consociation,,1334,,,,,,,Not prime farmland,,,,,,,,,,,14107,1907087
137,"Stevenscreek sandy clay loam, 0 to 2 percent slopes",Consociation,,378,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,2027466
136,"Urban land-Stevenscreek complex, 2 to 9 percent slopes",Complex,,790,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027467
143,"Flaskan sandy clay loam, 5 to 9 percent slopes",Consociation,,937,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027468
181,"Newpark silty clay loam, 0 to 2 percent slopes",Complex,,137,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,2027469
180,"Urbanland-Newpark complex, 0 to 2 percent slopes",Complex,,5847,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027470
176,"Urban land-Botella complex, 2 to 9 percent slopes",Complex,,1372,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027471
307,"Kawenga-Alo complex, 20 to 40 percent slopes",Complex,,1130,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027472
317,"Urbanland-Cropley complex, 0 to 2 percent slopes",Complex,,4788,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027484
330,"Montavista clay loam, 15 to 30 percent slopes",Consociation,,1070,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027485
326,"Airship-Minlum complex, 40 to 65 percent slopes",Complex,,507,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027486
324,"Literr loam, 15 to 30 percent slopes",Consociation,,353,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027488
323,"Minlum-Airship-Literr complex,  40 to 65 percent slopes",Complex,,503,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027489
322,"Literr-Urbanland-Merbeth complex, 15 to 30 percent slopes",Complex,,1197,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027490
321,"Merbeth-Literr complex, 30 to 65 percent slopes",Complex,,1216,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027491
320,"Literr-Merbeth complex,  15 to 30 percent slopes",Complex,,1338,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027492
345,"Argixerolls, 20 to 50 percent slopes",Consociation,,538,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027493
332,"Urbanland-Montavista complex, 2 to 9 percent slopes",Complex,,84,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027496
331,"Urbanland-Montavista complex, 15 to 30 percent slopes",Complex,,408,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027497
DAM,Large dams,Consociation,,35,,,,,,,Not prime farmland,,,,,,,,,,,14107,2027498
101,"Urban land, 0 to 2 percent slopes, basins",Consociation,,3971,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390831
102,"Urban land, 0 to 2 percent slopes, alluvial fans",Consociation,,2054,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390832
129,"Urban land-Still complex, 2 to 5 percent slopes",Complex,,292,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390846
144,"Flaskan sandy clay loam, 0 to 2 percent slopes",Consociation,,431,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,2390848
177,"Urban land-Botella complex, 9 to 15 percent slopes",Complex,,886,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390849
302,"Montara-Rock outcrop complex, 30 to 50 percent slopes",Complex,,1464,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390851
318,"Urban land-Cropley complex, 2 to 9 percent slopes",Complex,,831,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390853
365,"Unistan-Rock outcrop complex, 5 to 9 percent slopes",Complex,,113,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390856
366,"Unistan-Rock outcrop complex, 15 to 30 percent slopes",Complex,,214,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390857
367,"Urban land-Unistan complex, 15 to 30 percent slopes",Complex,,28,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390859
371,"Zeppelin-Mccoy complex, 15 to 30 percent slopes",Complex,,2412,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390861
519,"Ben Lomond-Felton complex, 30 to 75 percent slopes",Complex,,77,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390862
531,"Aptos Loam, 30 to 50 percent slopes",Consociation,,12,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390868
575,"Mouser-Footpath complex, 8 to 30 percent slopes",Complex,,1186,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390870
576,"Sanikara-Footpath complex, 30 to 75 percent slopes",Complex,,1485,,,,,,,Not prime farmland,,,,,,,,,,,14107,2390872
123,"Urban Land-Xerorthents, anthropogenic fill complex, 0 to 2 percent slopes",Complex,,298,,,,,,,Not prime farmland,,,,,,,,,,,14107,2391353
350,"Urban Land-Togasara-Montavista complex, 15 to 30 percent slopes",Complex,,801,,,,,,,Not prime farmland,,,,,,,,,,,14107,2391354
339,"Togasara-Montavista complex, 15 to 30 percent slopes",Complex,,363,,,,,,,Not prime farmland,,,,,,,,,,,14107,2391355
337,"Urban Land-Togasara-Montavista complex, 2 to 9 percent slopes",Complex,,1526,,,,,,,Not prime farmland,,,,,,,,,,,14107,2391357
335,"Montavista-Togasara complex, 2 to 9 percent slopes",Complex,,261,,,,,,,Not prime farmland,,,,,,,,,,,14107,2391359
334,"Urban Land-Montavista-Togasara complex, 9 to 15 percent slopes",Complex,,3663,,,,,,,Not prime farmland,,,,,,,,,,,14107,2391360
333,"Montavista-Togasara complex, 9 to 15 percent slopes",Complex,,405,,,,,,,Not prime farmland,,,,,,,,,,,14107,2391361
510,"Casrock-Skyridge-Rock outcrop complex, 8 to 30 percent slopes",Complex,,163,,,,,,,Not prime farmland,,,,,,,,,,,14107,2400592
370,"Zeppelin-Mccoy complex, 5 to 9 percent slopes",Complex,,17,,,,,,,Not prime farmland,,,,,,,,,,,14107,2400593
168,"Elder fine sandy loam, protected, 0 to 2 percent slopes",Consociation,,404,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,2425893
169,"Urbanland-Elder complex, 0 to 2 percent slopes, protected",Complex,,3195,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425894
178,"Caninecreek-Elder complex, 1 to 5 percent slopes, protected",Complex,,13,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,2425895
185,"Urban Land - Bayshore complex, 0 to 2 percent slopes, drained",Consociation,,1093,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425896
190,"Cumulic Haploxerolls, 1 to 5 percent slopes",Consociation,,150,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425897
303,"Montara-Santerhill complex, 15 to 30 percent slopes",Complex,,5327,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425898
304,"Montara-Santerhill complex, 30 to 50 percent slopes",Complex,,1245,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425899
312,"Diablo-Urbanland complex, 9 to 15 percent slopes",Complex,,737,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425900
313,"Diablo-Urbanland complex, 15 to 30 percent slopes",Complex,,518,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425901
327,"Literr-Urbanland-Merbeth complex, 9 to 15 percent slopes",Complex,,1895,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425902
368,"Urbanland-Unistan complex, 9 to 15 percent slopes",Complex,,8,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425904
308,"Urbanland-Santerhill-Montara complex, 9 to 15 percent slopes",Complex,,777,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425949
309,"Urbanland-Altamont-Alo complex, 9 to 15 percent slopes",Complex,,993,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425950
314,"Urbanland-Altamont-Alo complex, 15 to 30 percent slopes",Complex,,913,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425953
376,"Zeppelin-Alumrock complex, 30 to 50 percent slopes",Complex,,2071,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425954
377,"Alumrock fine sandy loam, 15 to 30 percent slopes",Complex,,79,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425955
378,"Urbanland-Alumrock-Zeppelin complex, 9 to 15 percent slopes",Complex,,204,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425956
379,"Urbanland-Alumrock complex, 9 to 15 percent slopes",Complex,,236,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425957
385,"Alo-Altamont complex, 9 to 15 percent slopes",Complex,,381,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425958
386,"Alumrock-Zeppelin complex, 9 to 15 percent slopes",Complex,,706,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425959
580,"Maymen gravelly sandy clay loam, 30 to 50 percent slopes",Complex,,395,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425961
581,"Maymen gravelly sandy clay loam, 50 to 75 percent slopes",Consociation,,534,,,,,,,Not prime farmland,,,,,,,,,,,14107,2425962
174,"Urban Land-Caninecreek-Elder complex, 0 to 2 percent slopes",Complex,,224,,,,,,,Not prime farmland,,,,,,,,,,,14107,2427596
375,"Alumrock-Zepplin complex, 15 to 30 percent slopes",Complex,,1374,,,,,,,Not prime farmland,,,,,,,,,,,14107,2427597
