musym,muname,mukind,mustatus,muacres,mapunitlfw_l,mapunitlfw_r,mapunitlfw_h,mapunitpfa_l,mapunitpfa_r,mapunitpfa_h,farmlndcl,muhelcl,muwathelcl,muwndhelcl,interpfocus,invesintens,iacornsr,nhiforsoigrp,nhspiagr,vtsepticsyscl,mucertstat,lkey,mukey
380,"Lodo-Zepplin complex, 30 to 50 percent slopes",Complex,,235,,,,,,,Not prime farmland,,,,,,,,,,,14107,2427598
392,"Lodo-Rock outcrop complex, 50 to 75 percent slopes",Complex,,858,,,,,,,Not prime farmland,,,,,,,,,,,14107,2427599
391,"Kawenga-Lodo complex, 15 to 30 percent slopes",Complex,,173,,,,,,,Not prime farmland,,,,,,,,,,,14107,2427600
390,"Rock outcrop-Lodo complex, 50 to 75 percent slopes",Complex,,212,,,,,,,Not prime farmland,,,,,,,,,,,14107,2427601
400,"Diablo clay, 5 to 25 percent slopes, MLRA 15",Consociation,,26,,,,,,,Farmland of statewide importance,,,,,,,,,,,14107,2435466
401,"Gaviota loam, 15 to 30 percent slopes",Consociation,,2973,,,,,,,Not prime farmland,,,,,,,,,,,14107,2435467
402,"Gaviota loam, 30 to 75 percent slopes",Consociation,,1684,,,,,,,Not prime farmland,,,,,,,,,,,14107,2435468
406,"Los Gatos gravelly loam, 50 to 75 percent slopes",Consociation,,19,,,,,,,Not prime farmland,,,,,,,,,,,14107,2435473
407,"Los Gatos-Gaviota complex, 50 to 75 percent slopes",Complex,,804,,,,,,,Not prime farmland,,,,,,,,,,,14107,2435474
408,"Vallecitos rocky loam, 15 to 30 percent slopes, eroded",Complex,,1104,,,,,,,Not prime farmland,,,,,,,,,,,14107,2435475
409,"Zamora loam, 2 to 9 percent slopes",Consociation,,13,,,,,,,Prime farmland if irrigated,,,,,,,,,,,14107,2435476
110sc,"Ben Lomond sandy loam, 5 to 15 percent slopes",Consociation,,2,,,,,,,Not prime farmland,,,,,,,,,,,14107,2483837
116sc,"Bonnydoon loam, 5 to 50 percent slopes, MLRA 4B",Consociation,,3,,,,,,,Not prime farmland,,,,,,,,,,,14107,2483838
142sc,"Lompico-Felton complex, 5 to 30 percent slopes",Complex,,22,,,,,,,Not prime farmland,,,,,,,,,,,14107,2483839
143sc,"Lompico-Felton complex, 30 to 50 percent slopes, MLRA 4B",Complex,,8,,,,,,,Not prime farmland,,,,,,,,,,,14107,2483840
149sc,"Madonna loam, 15 to 30 percent slopes",Consociation,,706,,,,,,,Not prime farmland,,,,,,,,,,,14107,2483841
150sc,"Maymen stony loam, 15 to 30 percent slopes",Consociation,,435,,,,,,,Not prime farmland,,,,,,,,,,,14107,2483842
151sc,"Maymen stony loam, 30 to 75 percent slopes",Consociation,,65,,,,,,,Not prime farmland,,,,,,,,,,,14107,2483843
403,"Gaviota gravelly loam, 30 to 75 percent slopes, eroded, MLRA 15",Consociation,,655,,,,,,,Not prime farmland,,,,,,,,,,,14107,2747713
404,"Gaviota gravelly loam, 30 to 75 percent slopes, severely eroded, MLRA 15",Consociation,,295,,,,,,,Not prime farmland,,,,,,,,,,,14107,2747718
405,"Gaviota-Los Gatos complex, 30 to 50 percent slopes, MLRA 15",Complex,,1680,,,,,,,Not prime farmland,,,,,,,,,,,14107,2747726
