comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
85,90,100,Alto,Series,Yes,,,0.0,0.5,1.0,,30,,Low,5,48,6,Class 1,Tree cover,Intermixed conifers and hardwoods,,No,Moderately well drained,91.0,137.0,183.0,80,150,220,saddles on interfluves on coastal plains,,0.30000001192092896,,18.0,19.0,20.0,1016,1092,1168,,,,240,253,265,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,C,Moderate,High,"Fine-loamy, siliceous, active, thermic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-loamy,not used,active,not used,thermic,Udic,thermic,eleventh edition,,,,,,,N/A,N/A,,,,,575302,13760946
0,5,10,Chireno,Series,No,,,0.0,1.0,2.0,,,,,,,,,,,,No,Moderately well drained,91.0,137.0,183.0,80,150,220,stream terraces on coastal plains,,,,18.0,19.0,20.0,1016,1092,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, mixed, superactive, thermic Pachic Argiudolls",Mollisols,Udolls,Argiudolls,Pachic Argiudolls,fine,not used,superactive,not used,thermic,Udic,thermic,eleventh edition,,,,,,,N/A,N/A,,,,,575302,13760947
0,5,10,Nacogdoches,Series,No,,,1.0,5.0,8.0,,,,,,,,,,,,No,Well drained,91.0,137.0,183.0,80,150,220,interfluves on coastal plains,,,,18.0,19.0,20.0,1016,1092,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, kaolinitic, thermic Rhodic Paleudalfs",Alfisols,Udalfs,Paleudalfs,Rhodic Paleudalfs,fine,not used,not used,not used,thermic,Udic,thermic,eleventh edition,,,,,,,N/A,N/A,,,,,575302,13760948
90,95,100,Alto,Series,Yes,,,0.0,0.5,1.0,,30,,Low,5,48,6,Class 1,Tree cover,Intermixed conifers and hardwoods,,No,Moderately well drained,91.0,137.0,183.0,80,150,220,saddles on interfluves on coastal plains,,0.30000001192092896,,18.0,19.0,20.0,1016,1092,1168,,,,240,253,265,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,C,Moderate,High,"Fine-loamy, siliceous, active, thermic Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,fine-loamy,not used,active,not used,thermic,Typic,thermic,eleventh edition,,,,,,,N/A,N/A,,,,,575303,13760996
0,5,10,Trawick,Series,No,,,2.0,5.0,8.0,,,,,,,,,,,,No,Well drained,91.0,137.0,183.0,80,150,220,interfluves on coastal plains,,,,18.0,19.0,20.0,1016,1092,1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, mixed, active, thermic Mollic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine,not used,active,not used,thermic,Typic,thermic,eleventh edition,,,,,,,N/A,N/A,,,,,575303,13760997
100,100,100,Attoyac,Series,Yes,,,0.0,0.5,1.0,,30,,Negligible,5,86,3,Class 1,Tree cover,Intermixed conifers and hardwoods,,No,Well drained,76.0,122.0,168.0,80,150,220,stream terraces on coastal plains,,0.30000001192092896,,18.0,19.0,20.0,1016,1092,1168,,,,240,250,260,1,e,,1,e,,,3,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,B,Moderate,Moderate,"Fine-loamy, siliceous, semiactive, thermic Typic Paleudalfs",Alfisols,Udalfs,Paleudalfs,Typic Paleudalfs,fine-loamy,not used,semiactive,not used,thermic,Udic,thermic,eleventh edition,,,,,,,N/A,N/A,,,,,575304,13760976
85,90,95,Mattex,Series,Yes,,,0.0,0.5,1.0,,30,,High,5,0,8,None - deposition,Tree cover,Hardwoods,Wooded under natural conditions,Yes,Somewhat poorly drained,49.0,103.0,163.0,0,135,360,flood plains on coastal plains,,0.23000000417232513,,17.799999237060547,18.299999237060547,19.0,1143,1270,1397,,,,220,228,239,5,w,,5,w,,,2af,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,B/D,High,High,"Fine-loamy, siliceous, active, acid, thermic Fluvaquentic Epiaquepts",Inceptisols,Aquepts,Epiaquepts,Fluvaquentic Epiaquepts,fine-loamy,not used,active,acid,thermic,Typic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575305,13760998
3,5,8,Iulus,Series,No,,,0.0,0.5,1.0,,,,,,,,,,,,No,Moderately well drained,49.0,103.0,163.0,0,135,360,flood plains on coastal plains,,,,17.799999237060547,18.299999237060547,19.0,1143,1270,1397,,,,220,228,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coarse-loamy, siliceous, active, thermic Fluvaquentic Dystrudepts",Inceptisols,Udepts,Dystrudepts,Fluvaquentic Dystrudepts,coarse-loamy,not used,active,not used,thermic,Aquic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575305,13760999
2,5,7,Laneville,Series,No,,,0.0,0.5,1.0,,,,,,,,,,,,No,Moderately well drained,49.0,103.0,163.0,0,135,360,flood plains on coastal plains,,,,17.799999237060547,18.299999237060547,19.0,1143,1270,1397,,,,220,228,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine-silty, siliceous, active, thermic Fluvaquentic Eutrudepts",Inceptisols,Udepts,Eutrudepts,Fluvaquentic Eutrudepts,fine-silty,not used,active,not used,thermic,Aquic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575305,13761000
,90,,Mantachie,Series,Yes,,,0.0,0.5,1.0,,30,,,5,0,8,,,,Wooded under natural conditions,Yes,Somewhat poorly drained,15.0,76.0,137.0,220,150,80,flood plains on coastal plains,,0.23000000417232513,,15.0,19.0,22.0,1016,1270,1524,,,,200,220,240,5,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,B/D,High,High,"Coarse-loamy, siliceous, acid, thermic Typic Fluvaquents",Entisols,Aquents,Fluvaquents,Typic Fluvaquents,coarse-loamy,,,acid,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575306,13760832
,10,,Unnamed,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,575306,13760833
85,92,100,Sacul,Series,Yes,,,1.0,2.0,3.0,,91,,High,5,86,3,Class 1,Tree cover,Intermixed conifers and hardwoods,,No,Moderately well drained,63.0,131.0,214.0,0,135,360,interfluves on coastal plains,,0.23000000417232513,,13.899999618530273,18.299999237060547,19.0,1143,1219,1372,,,,223,230,241,3,e,,3,e,,,1sa,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,D,High,High,"Fine, mixed, active, thermic Aquic Hapludults",Ultisols,Udults,Hapludults,Aquic Hapludults,fine,not used,active,not used,thermic,Aquic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575307,13761013
0,5,10,Lilbert,Series,No,,,2.0,4.0,5.0,,,,,,,,,,,,No,Well drained,63.0,131.0,214.0,0,135,360,interfluves on coastal plains,,,,13.899999618530273,18.299999237060547,19.0,1143,1219,1372,,,,223,230,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loamy, siliceous, semiactive, thermic Arenic Plinthic Paleudults",Ultisols,Udults,Paleudults,Arenic Plinthic Paleudults,loamy,not used,semiactive,not used,thermic,Typic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575307,13761014
0,3,5,Smithdale,Series,No,,,2.0,4.0,5.0,,,,,,,,,,,,No,Well drained,63.0,131.0,214.0,0,135,360,interfluves on coastal plains,,,,13.899999618530273,18.299999237060547,19.0,1143,1219,1372,,,,223,230,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermic,,,,,,,,N/A,N/A,,,,,575307,13761015
85,90,100,Sacul,Series,Yes,,,3.0,6.0,8.0,,15,,Very high,5,86,3,Class 1,Tree cover,Intermixed conifers and hardwoods,,No,Moderately well drained,31.0,131.0,214.0,0,135,360,interfluves on coastal plains,,0.23000000417232513,,15.600000381469727,17.200000762939453,19.0,1118,1219,1372,,,,193,219,237,4,e,,4,e,,,1a,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,D,High,High,"Fine, mixed, active, thermic Aquic Hapludults",Ultisols,Udults,Hapludults,Aquic Hapludults,fine,not used,active,not used,thermic,Aquic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575308,13761016
0,10,15,Ruston,Series,No,,,3.0,6.0,8.0,,,,,,,,,,,,No,Well drained,31.0,131.0,214.0,0,135,360,interfluves on coastal plains,,,,15.600000381469727,17.200000762939453,19.0,1118,1219,1372,,,,193,219,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,575308,13761017
,100,,Sacul,Series,Yes,,,3.0,6.0,8.0,,46,,,5,86,3,,,,,No,Moderately well drained,46.0,92.0,137.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,16.0,18.0,19.0,1219,1296,1372,,,,190,210,230,4,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Clayey, mixed, thermic Aquic Hapludults",Ultisols,Udults,Hapludults,Aquic Hapludults,clayey,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575309,13760834
,100,,Sacul,Series,Yes,,,8.0,12.0,15.0,,30,,,5,86,3,,,,,No,Moderately well drained,46.0,92.0,137.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,16.0,18.0,19.0,1219,1296,1372,,,,190,210,230,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Clayey, mixed, thermic Aquic Hapludults",Ultisols,Udults,Hapludults,Aquic Hapludults,clayey,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575310,13760835
,100,,Sacul,Series,Yes,,,8.0,12.0,15.0,,30,,,5,86,3,,,,,No,Moderately well drained,46.0,92.0,137.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,16.0,18.0,19.0,1219,1296,1372,,,,190,210,230,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Clayey, mixed, thermic Aquic Hapludults",Ultisols,Udults,Hapludults,Aquic Hapludults,clayey,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575311,13760836
,100,,Sacul,Series,Yes,,,8.0,12.0,15.0,,30,,,5,56,5,,,,,No,Moderately well drained,46.0,92.0,137.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,16.0,18.0,19.0,1219,1296,1372,,,,190,210,230,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,High,"Clayey, mixed, thermic Aquic Hapludults",Ultisols,Udults,Hapludults,Aquic Hapludults,clayey,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575312,13760837
,100,,Bowie,Series,Yes,,,1.0,2.0,2.0,,91,,,5,86,3,,,,,No,Well drained,46.0,115.0,183.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,18.0,20.0,21.0,1016,1143,1270,,,,220,235,250,2,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,B,Moderate,High,"Fine-loamy, siliceous, thermic Plinthic Paleudults",Ultisols,Udults,Paleudults,Plinthic Paleudults,fine-loamy,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575313,13760838
,90,,Bowie,Series,Yes,,,1.0,2.0,3.0,8,15,24,Low,5,86,3,Class 1,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Well drained,46.0,115.0,168.0,0,135,360,interfluves on coastal plains,,0.23000000417232513,,13.899999618530273,18.0,21.0,1219,1385,1550,,,,196,205,220,2,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,B,Moderate,High,"Fine-loamy, siliceous, semiactive, thermic Plinthic Paleudults",Ultisols,Udults,Paleudults,Plinthic Paleudults,fine-loamy,not used,semiactive,not used,thermic,Typic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575314,13761427
,5,,Sacul,Series,No,,,1.0,2.0,3.0,,,,,,,,,,,,No,Moderately well drained,46.0,115.0,168.0,0,135,360,coastal plains on uplands,,,,,,,1219,1385,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermic,,,,,,,,N/A,N/A,,,,,575314,13761428
,3,,Smithdale,Series,No,,,1.0,2.0,3.0,,,,,,,,,,,,No,Well drained,46.0,115.0,168.0,0,135,360,interfluves on coastal plains,,,,,,,1219,1385,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermic,,,,,,,,N/A,N/A,,,,,575314,13761429
,2,,Savannah,Series,No,,,1.0,2.0,3.0,,,,,,,,,,,,No,Moderately well drained,46.0,115.0,168.0,0,135,360,interfluves on coastal plains,,,,,,,1219,1385,1550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermic,,,,,,,,N/A,N/A,,,,,575314,13761430
85,90,100,Bowie,Series,Yes,,,3.0,6.0,8.0,,46,,High,5,86,3,Class 1,Tree cover,Intermixed conifers and hardwoods,,No,Well drained,69.0,89.0,113.0,0,135,360,interfluves on coastal plains,,0.28999999165534973,,13.899999618530273,16.100000381469727,18.899999618530273,1092,1282,1448,,,,196,211,237,4,e,,4,e,,,10,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,C,Moderate,High,"Fine-loamy, siliceous, semiactive, thermic Plinthic Paleudults",Ultisols,Udults,Paleudults,Plinthic Paleudults,fine-loamy,not used,semiactive,not used,thermic,Typic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575315,13761070
0,5,10,Kirvin,Series,No,,,3.0,6.0,8.0,,46,,,,,,,,,,No,Well drained,69.0,89.0,113.0,0,135,360,interfluves on coastal plains,,,,13.899999618530273,16.100000381469727,18.899999618530273,1092,1282,1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, mixed, semiactive, thermic Typic Hapludults",,,,,,,,,,,thermic,,,,,,,,N/A,N/A,,,,,575315,13761071
0,5,10,Sacul,Series,No,,,3.0,6.0,8.0,,46,,,,,,,,,,No,Moderately well drained,69.0,89.0,113.0,0,135,360,interfluves on coastal plains,,,,13.899999618530273,16.100000381469727,18.899999618530273,1092,1282,1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fine, mixed, active, thermic Aquic Hapludults",Ultisols,Udults,Hapludults,Aquic Hapludults,fine,not used,active,not used,thermic,Aquic,thermic,twelfth edition,,,,,,,N/A,N/A,,,,,575315,13761072
,100,,Bowie,Series,Yes,,,3.0,6.0,8.0,,46,,,5,86,3,,,,,No,Well drained,46.0,115.0,183.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,18.0,20.0,21.0,1016,1143,1270,,,,220,235,250,4,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,Moderate,High,"Fine-loamy, siliceous, thermic Plinthic Paleudults",Ultisols,Udults,Paleudults,Plinthic Paleudults,fine-loamy,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575316,13760839
,100,,Lilbert,Series,Yes,,,1.0,2.0,3.0,,91,,,5,134,2,,,,,No,Well drained,107.0,145.0,183.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,18.0,20.0,21.0,1016,1143,1270,,,,240,258,275,3,s,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,B,High,Moderate,"Loamy, siliceous, thermic Arenic Plinthic Paleudults",Ultisols,Udults,Paleudults,Arenic Plinthic Paleudults,loamy,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575317,13760840
,100,,Lilbert,Series,Yes,,,3.0,6.0,8.0,,46,,,5,134,2,,,,,No,Well drained,107.0,145.0,183.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,18.0,20.0,21.0,1016,1143,1270,,,,240,258,275,4,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,B,High,Moderate,"Loamy, siliceous, thermic Arenic Plinthic Paleudults",Ultisols,Udults,Paleudults,Arenic Plinthic Paleudults,loamy,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575318,13760841
,100,,Lilbert,Series,Yes,,,3.0,6.0,8.0,,46,,,5,134,2,,,,,No,Well drained,107.0,145.0,183.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,18.0,20.0,21.0,1016,1143,1270,,,,240,258,275,4,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,B,High,Moderate,"Loamy, siliceous, thermic Arenic Plinthic Paleudults",Ultisols,Udults,Paleudults,Arenic Plinthic Paleudults,loamy,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575319,13760842
,45,,Bub,Series,Yes,,,15.0,28.0,40.0,,15,,,2,0,8,,,,,No,Well drained,76.0,145.0,213.0,220,150,80,interfluves on coastal plains,,0.1599999964237213,,18.0,19.0,19.0,1016,1143,1270,,,,235,243,250,7,s,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,D,Moderate,High,"Clayey, mixed, thermic, shallow Typic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Typic Hapludalfs,clayey,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575320,13760843
,35,,Trawick,Series,Yes,,,8.0,17.0,25.0,,18,,,3,48,6,,,,,No,Well drained,107.0,153.0,198.0,220,150,80,interfluves on coastal plains,,0.1599999964237213,,18.0,19.0,20.0,1067,1194,1321,,,,235,243,250,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,Low,High,"Fine, mixed, thermic Mollic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Mollic Hapludalfs,fine,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575320,13760844
,20,,Unnamed,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,575320,13760845
,95,,Alazan,Series,Yes,,,0.0,0.5,1.0,,30,,,5,86,3,,,,,No,Moderately well drained,70.0,75.0,79.0,220,150,80,stream terraces on coastal plains,,0.23000000417232513,,18.0,20.0,21.0,1016,1207,1397,,,,235,243,250,2,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,Moderate,High,"Fine-loamy, siliceous, thermic Aquic Glossudalfs",Alfisols,Udalfs,Glossudalfs,Aquic Glossudalfs,fine-loamy,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575321,13760846
,5,,Mollville,Series,No,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,depressions,,0.23000000417232513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermic,,,,,,,,N/A,N/A,,,,,575321,13760847
,100,,Alazan,Series,Yes,,,1.0,2.0,2.0,,91,,,5,86,3,,,,,No,Moderately well drained,70.0,75.0,79.0,220,150,80,stream terraces on coastal plains,,0.23000000417232513,,18.0,20.0,21.0,1016,1207,1397,,,,235,243,250,2,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,Moderate,High,"Fine-loamy, siliceous, thermic Aquic Glossudalfs",Alfisols,Udalfs,Glossudalfs,Aquic Glossudalfs,fine-loamy,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575322,13760848
,95,,Alazan,Series,Yes,,,0.0,0.5,1.0,,30,,,5,86,3,,,,,No,Moderately well drained,70.0,75.0,79.0,220,150,80,stream terraces on coastal plains,,0.23000000417232513,,18.0,20.0,21.0,1016,1207,1397,,,,235,243,250,2,w,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,Moderate,High,"Fine-loamy, siliceous, thermic Aquic Glossudalfs",Alfisols,Udalfs,Glossudalfs,Aquic Glossudalfs,fine-loamy,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575323,13760849
,5,,Mollville,Series,No,,,,,,,,,,,,,,,,Wooded under natural conditions,Yes,,,,,,,,depressions,,0.23000000417232513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thermic,,,,,,,,N/A,N/A,,,,,575323,13760850
,85,,Cuthbert,Series,Yes,,,5.0,7.0,8.0,,43,,,3,86,3,,,,,No,Well drained,122.0,176.0,229.0,220,150,80,interfluves on coastal plains,,0.23000000417232513,,17.0,18.0,19.0,1016,1219,1422,,,,235,253,270,6,e,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,,,,C,High,Moderate,"Clayey, mixed, thermic Typic Hapludults",Ultisols,Udults,Hapludults,Typic Hapludults,clayey,,,not used,thermic,,thermic,,,,,,,,N/A,N/A,,,,,575325,13760851
