comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
,85,,Altamont,Series,Yes,LOW PPT,,8.0,22.0,35.0,,,,Very high,3,56,5,,,,,No,Well drained,61.0,488.0,914.0,338,90,203,"hills, uplands",,0.25,,15.0,16.0,17.0,305,470,635,,,,250,280,310,6,e,,4,e,,,,,1000,1500,2400,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,D,Low,High,"Fine, montmorillonitic, thermic Typic Chromoxererts",Vertisols,Xererts,Chromoxererts,Typic Chromoxererts,fine,,,not used,thermic,,thermic,,20,,,,,,N/A,N/A,,,,,458135,13143809
,3,,Unnamed,Taxon above family,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458135,13143810
,2,,Unnamed,Taxon above family,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458135,13143811
,5,,Soper,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458135,13143812
,5,,Gaviota,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458135,13143813
,85,,Anza,Series,Yes,MOIST,,2.0,5.0,8.0,,,,Low,5,86,3,,,,,No,Well drained,1036.0,1311.0,1585.0,158,203,248,alluvial fans,,0.1599999964237213,,13.0,13.0,13.0,381,508,635,,,,150,175,200,4,e,,2,e,,,,,400,1000,1800,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,A,Moderate,Low,"Coarse-loamy, mixed, mesic Pachic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Pachic Haploxerolls,coarse-loamy,,,not used,mesic,,mesic,,81,,,,,,N/A,N/A,,,,,458136,13143814
,1,,Mottsville,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458136,13143815
,1,,Oak Glen,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458136,13143816
,1,,Calpine,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458136,13143817
,2,,Bull Trail,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458136,13143818
,10,,Anza,Series,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458136,13143819
,85,,Anza,Series,Yes,MOIST,,0.0,1.0,2.0,,,,Low,5,56,5,,,,,No,Well drained,1036.0,1311.0,1585.0,158,203,248,alluvial fans,,0.1599999964237213,,13.0,13.0,13.0,381,508,635,,,,150,175,200,3,e,,1,,,,,,400,1000,1800,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,B,Moderate,Low,"Coarse-loamy, mixed, mesic Pachic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Pachic Haploxerolls,coarse-loamy,,,not used,mesic,,mesic,,77,,,,,,N/A,N/A,,,,,458137,13143820
,8,,Unnamed,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458137,13143821
,4,,Mottsville,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458137,13143822
,3,,Oak Glen,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458137,13143823
,85,,Anza,Series,Yes,MOIST,,2.0,5.0,8.0,,,,Medium,5,56,5,,,,,No,Well drained,1036.0,1311.0,1585.0,113,180,248,alluvial fans,,0.1599999964237213,,13.0,13.0,13.0,381,508,635,,,,150,175,200,4,e,,2,e,,,,,400,1000,1800,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,B,Moderate,Low,"Coarse-loamy, mixed, mesic Pachic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Pachic Haploxerolls,coarse-loamy,,,not used,mesic,,mesic,,81,,,,,,N/A,N/A,,,,,458138,13143824
,5,,Oak Glen,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458138,13143825
,5,,Mottsville,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458138,13143826
,5,,Calpine,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458138,13143827
,85,,Arbuckle,Series,Yes,"ETA>12,MAP12-16",,2.0,5.0,8.0,,,,High,5,56,5,,,,,No,Well drained,30.0,259.0,488.0,338,113,248,alluvial fans,,0.25,,14.0,16.0,18.0,305,597,889,,,,200,240,280,3,e,,2,e,,,,,1700,2200,3000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,High,"Fine-loamy, mixed, thermic Typic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Typic Haploxeralfs,fine-loamy,,,not used,thermic,,thermic,,77,,,,,,N/A,N/A,,,,,458139,13143828
,5,,Garretson,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458139,13143829
,5,,Perkins,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458139,13143830
,5,,Cortina,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458139,13143831
,85,,Arbuckle,Series,Yes,"ETA>12,MAP12-16",,8.0,12.0,15.0,,,,High,5,56,5,,,,,No,Well drained,30.0,259.0,488.0,338,113,248,alluvial fans,,0.25,,14.0,16.0,18.0,305,597,889,,,,200,240,280,3,e,,3,e,,,,,1700,2200,3000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,High,"Fine-loamy, mixed, thermic Typic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Typic Haploxeralfs,fine-loamy,,,not used,thermic,,thermic,,69,,,,,,N/A,N/A,,,,,458140,13143832
,5,,Garretson,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458140,13143833
,5,,Perkins,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458140,13143834
,5,,Cortina,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458140,13143835
,85,,Arbuckle,Series,Yes,MAP12-16,,2.0,5.0,8.0,,,,Medium,5,48,6,,,,,No,Well drained,30.0,259.0,488.0,338,23,68,alluvial fans,,0.25,,14.0,16.0,18.0,305,597,889,,,,200,240,280,3,e,,2,e,,,,,800,1400,2000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,High,"Fine-loamy, mixed, thermic Typic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Typic Haploxeralfs,fine-loamy,,,not used,thermic,,thermic,,64,,,,,,N/A,N/A,,,,,458141,13143836
,5,,Garretson,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458141,13143837
,5,,Perkins,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458141,13143838
,5,,Cortina,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458141,13143839
,85,,Arbuckle,Series,Yes,MAP12-16,,8.0,12.0,15.0,,,,Medium,5,48,6,,,,,No,Well drained,30.0,259.0,488.0,338,113,248,alluvial fans,,0.25,,14.0,16.0,18.0,305,597,889,,,,200,240,280,3,e,,3,e,,,,,800,1400,2000,,,,,,,,,,,,,,,Moderate,0,0,0,0,0,0,C,Low,High,"Fine-loamy, mixed, thermic Typic Haploxeralfs",Alfisols,Xeralfs,Haploxeralfs,Typic Haploxeralfs,fine-loamy,,,not used,thermic,,thermic,,61,,,,,,N/A,N/A,,,,,458142,13143840
,5,,Perkins,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,458142,13143841
