comppct_l,comppct_r,comppct_h,compname,compkind,majcompflag,otherph,localphase,slope_l,slope_r,slope_h,slopelenusle_l,slopelenusle_r,slopelenusle_h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev_l,elev_r,elev_h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry_l,albedodry_r,albedodry_h,airtempa_l,airtempa_r,airtempa_h,map_l,map_r,map_h,reannualprecip_l,reannualprecip_r,reannualprecip_h,ffd_l,ffd_r,ffd_h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod_l,rsprod_r,rsprod_h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub_l,initsub_r,initsub_h,totalsub_l,totalsub_r,totalsub_h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
1,5,10,Pachic Haploxerolls,Family,No,,loamy skeletal,0.0,1.0,2.0,,,,Very low,4,56,5,,Grass/herbaceous cover,,,No,Well drained,9.0,46.0,136.0,23,68,113,"alluvial fans, alluvial plains",,0.23000000417232513,,14.0,15.0,16.0,355,370,600,,,,275,300,325,3,s,4,3,s,4,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,30,B,Moderate,Low,"Loamy-skeletal, mixed, superactive, thermic Typic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Typic Haploxerolls,loamy-skeletal,,superactive,not used,thermic,Xeric,thermic,ninth edition,,,,,,,N/A,N/A,,,,,2390848,13085433
1,5,10,Landelspark,Series,No,,,0.0,1.0,2.0,,,,Low,3,86,3,,Grass/herbaceous cover,Urban and built-up,,No,Well drained,9.0,46.0,136.0,23,68,113,"alluvial fans, alluvial plains",,0.23000000417232513,,14.0,15.0,16.0,355,370,600,,,,275,300,325,3,s,,1,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,30,C,Moderate,Moderate,"Fine-loamy, mixed, superactive, thermic Fluventic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Fluventic Haploxerolls,fine-loamy,not used,superactive,not used,thermic,Xeric,thermic,ninth edition,,,,,,,N/A,N/A,,,,,2390848,13085434
1,5,10,Botella,Series,No,,,0.0,1.0,2.0,,,,Low,5,56,5,,Artificial cover,Urban and built-up,,No,Well drained,9.0,46.0,136.0,23,68,113,"alluvial fans, alluvial plains",,0.23000000417232513,,14.0,15.0,16.0,355,370,600,,,,275,300,325,3,s,,1,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,30,C,Moderate,Moderate,"Fine-loamy, mixed, superactive, thermic Pachic Argixerolls",Mollisols,Xerolls,Argixerolls,Pachic Argixerolls,fine-loamy,,superactive,not used,thermic,Xeric,thermic,ninth edition,,,,,,,N/A,N/A,,,,,2390848,13085435
,75,,Urban land,Miscellaneous area,Yes,,,9.0,12.0,15.0,,,,Very high,,,,,Artificial cover,Urban and built-up,,Unranked,,55.0,115.0,233.0,203,248,293,"alluvial fans, alluvial plains, urban land",,,,14.0,15.0,16.0,355,370,600,,,,275,300,325,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2390849,13085436
,20,,Botella,Series,Yes,,,9.0,12.0,15.0,,,,Medium,5,56,5,,Artificial cover,Urban and built-up,,No,Well drained,55.0,115.0,233.0,203,248,293,"alluvial fans, alluvial plains",,0.23000000417232513,,14.0,15.0,16.0,355,370,600,,,,275,300,325,3,e,1,3,e,1,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,C,Moderate,Moderate,"Fine-loamy, mixed, superactive, thermic Pachic Argixerolls",Mollisols,Xerolls,Argixerolls,Pachic Argixerolls,fine-loamy,,superactive,not used,thermic,Xeric,thermic,ninth edition,,,,,,,N/A,N/A,,,,,2390849,13085437
1,5,10,Flaskan,Series,No,,,9.0,12.0,15.0,,,,Medium,4,86,3,,,Urban and built-up,,No,Well drained,55.0,115.0,233.0,203,248,293,"alluvial fans, alluvial plains",,0.23000000417232513,,14.0,15.0,16.0,355,370,600,,,,275,300,325,3,e,4,3,e,4,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,C,Low,Moderate,"Fine-loamy, mixed, superactive, thermic Typic Argixerolls",Mollisols,Xerolls,Argixerolls,Typic Argixerolls,fine-loamy,not used,superactive,not used,thermic,Xeric,thermic,ninth edition,,,,,,,N/A,N/A,,,,,2390849,13085438
,70,,Montara,Series,Yes,,,30.0,45.0,50.0,,,,Very high,1,86,3,,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Somewhat excessively drained,49.0,146.0,368.0,158,225,293,"hills, hills",,0.1599999964237213,,13.0,15.0,16.0,500,630,1000,,,,250,275,300,6,e,4,6,e,4,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,D,Low,Low,"Loamy, magnesic, thermic Lithic Haploxerolls",Mollisols,Xerolls,Haploxerolls,Lithic Haploxerolls,loamy,,not used,not used,thermic,Xeric,thermic,ninth edition,,,,,,,N/A,N/A,,,,,2390851,13085439
,20,,Rock outcrop,Miscellaneous area,Yes,,Serpentinite,30.0,45.0,50.0,,,,Very high,,,,,Barren land,Rock,,Unranked,,49.0,146.0,368.0,158,225,293,"hills, hills",,,,13.0,15.0,16.0,500,630,1000,,,,250,275,300,8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2390851,13085440
,10,,Santerhill,Series,No,,,30.0,45.0,50.0,,,,High,4,86,4,,Grass/herbaceous cover,Other grass/herbaceous cover,,No,Somewhat excessively drained,49.0,146.0,368.0,158,225,293,"hills, hills",,0.1599999964237213,,13.0,15.0,16.0,500,630,1000,,,,250,275,300,6,e,1,6,e,1,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,C,Low,High,"Fine, magnesic, thermic Aridic Haploxererts",Vertisols,Xererts,Haploxererts,Aridic Haploxererts,fine,,not used,not used,thermic,Xeric,thermic,tenth edition,,,,,,,N/A,N/A,,,,,2390851,13085441
,75,,Urban land,Miscellaneous area,Yes,,,2.0,5.0,9.0,,,,Very high,,,,,Artificial cover,Urban and built-up,,Unranked,,10.0,71.0,218.0,203,248,293,"alluvial fans, alluvial plains, urban land",,,,14.0,15.0,16.0,355,370,600,,,,275,300,325,,,,,,,,,,,,,,,,,,,,,,,,,,,None,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,2390853,13085442
